!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-06-27 08:31:43

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151_2019

[DEVICE]
SAT2054

# Correlated color temperature (K)
[LAMP_CCT]
2972.0

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
84	583.00	1.137E-004	1.79	358.700	0	28945.20	2.27	29095.80	5.59
85	586.35	1.159E-004	1.79	355.400	0	28900.07	2.11	29055.87	4.35
86	589.70	1.183E-004	1.79	352.900	0	28802.07	1.70	28952.73	5.73
87	593.04	1.211E-004	1.79	355.500	0	28623.67	3.36	28763.80	5.23
88	596.39	1.241E-004	1.79	357.400	0	28390.37	2.19	28531.33	3.63
89	599.73	1.272E-004	1.79	351.300	0	28139.47	2.63	28287.00	4.68
90	603.08	1.318E-004	1.79	361.000	0	27608.73	2.54	27742.93	4.67
91	606.42	1.371E-004	1.79	351.600	0	26912.37	2.41	27052.47	4.55
92	609.77	1.435E-004	1.79	355.700	0	26105.13	2.43	26234.80	4.87
93	613.11	1.512E-004	1.79	346.800	0	25121.97	1.87	25250.07	5.23
94	616.45	1.572E-004	1.79	355.700	0	24501.83	2.10	24633.93	5.80
95	619.80	1.572E-004	1.79	354.400	0	24851.53	2.46	24979.93	5.85
96	623.14	1.534E-004	1.78	356.300	0	25802.57	2.30	25951.07	4.81
97	626.48	1.478E-004	1.78	355.300	0	27141.33	2.13	27297.07	3.66
98	629.83	1.402E-004	1.78	353.800	0	28934.47	2.38	29125.33	3.90
99	633.17	1.337E-004	1.78	361.600	0	30729.90	2.42	30931.73	4.65
100	636.51	1.337E-004	1.78	358.200	0	31063.00	2.39	31281.07	4.00
101	639.85	1.391E-004	1.78	354.700	0	30213.03	1.96	30423.00	3.49
102	643.19	1.473E-004	1.78	350.200	0	28916.93	2.06	29102.53	3.61
103	646.53	1.543E-004	1.78	349.600	0	27956.33	1.84	28120.40	4.12
104	649.87	1.612E-004	1.78	350.600	0	27055.27	1.85	27223.00	3.57
105	653.21	1.670E-004	1.78	347.100	0	26390.63	2.86	26560.53	4.07
